Event	ID	Name			Wwise Object Path	Notes
	85412153	Ambience			\Default Work Unit\Ambience	
	113443216	PlaySitcomStart			\Default Work Unit\Music\PlaySitcomStart	
	215920980	PlayMargaretStinger			\Default Work Unit\Music\PlayMargaretStinger	
	441242622	kneeslap			\Default Work Unit\kneeslap	
	492709867	AmbDishwasher			\Default Work Unit\AmbEmitters\AmbDishwasher	
	748690246	CoffeeServe			\Default Work Unit\CoffeeMinigame\CoffeeServe	
	907177173	LaughTrack			\Default Work Unit\LaughTrack	
	912635980	AmbFridge			\Default Work Unit\AmbEmitters\AmbFridge	
	1110506798	PlayTheme			\Default Work Unit\Music\PlayTheme	
	1312131451	UIError			\Default Work Unit\UIError	
	1816659375	UISelect			\Default Work Unit\UISelect	
	2108844903	CoffeeAddMilk			\Default Work Unit\CoffeeMinigame\CoffeeAddMilk	
	2304158007	CoffeePour			\Default Work Unit\CoffeeMinigame\CoffeePour	
	2370389293	PlayBillyStinger			\Default Work Unit\Music\PlayBillyStinger	
	2385628198	Footsteps			\Default Work Unit\Footsteps	
	2628123274	StopModelTrain			\Default Work Unit\AmbEmitters\StopModelTrain	
	2753664387	PlayAlMillerStinger			\Default Work Unit\Music\PlayAlMillerStinger	
	3056163180	CoffeeAddSugar			\Default Work Unit\CoffeeMinigame\CoffeeAddSugar	
	3610183652	CharacterSpeech			\Default Work Unit\CharacterSpeech	
	3936663813	UICursor			\Default Work Unit\UICursor	
	4293656322	ModelTrain			\Default Work Unit\AmbEmitters\ModelTrain	

Switch Group	ID	Name			Wwise Object Path	Notes
	2385628198	Footsteps			\Default Work Unit\Footsteps	
	2420739616	LaughTrackState			\Default Work Unit\LaughTrackState	
	2800954364	AmbArea			\Default Work Unit\AmbArea	
	3747948696	CharacterVoice			\Default Work Unit\CharacterVoice	

Switch	ID	Name	Switch Group			Notes
	841620460	Concrete	Footsteps			
	2412606308	Carpet	Footsteps			
	3598975185	Hardwood	Footsteps			
	3995207278	Linoleum	Footsteps			
	4248645337	Grass	Footsteps			
	685410452	Gone	LaughTrackState			
	751093624	NearFull	LaughTrackState			
	2510516222	Full	LaughTrackState			
	2759656302	NearGone	LaughTrackState			
	3633416822	Half	LaughTrackState			
	1132214669	Interior	AmbArea			
	2213992659	Exterior	AmbArea			
	746475195	Watcher	CharacterVoice			
	818946243	Billy	CharacterVoice			
	1619719889	HatGuy	CharacterVoice			
	1825249057	Dale	CharacterVoice			
	2732701073	AlMiller	CharacterVoice			
	3460511428	Margaret	CharacterVoice			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1577714322	GameProgress			\Default Work Unit\GameProgress	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	9232634	amb_bed_interior	Y:\Documents\GitHub\global-game-jam-2024\global-game-jam-2024_WwiseProject\.cache\Mac\SFX\amb_bed_interior_239921B3.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Ambience\AmbienceBed\amb_bed_interior		540941
	26069217	coffee_serve01	Y:\Documents\GitHub\global-game-jam-2024\global-game-jam-2024_WwiseProject\.cache\Mac\SFX\coffee_serve01_380E8DD5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\CoffeeMinigame\CoffeeServe\coffee_serve01		99008
	43949581	ui_mx_margaret	Y:\Documents\GitHub\global-game-jam-2024\global-game-jam-2024_WwiseProject\.cache\Mac\SFX\ui_mx_margaret_239921B3.wem		\Interactive Music Hierarchy\Default Work Unit\Stingers\ui_mx_margaret\ui_mx_margaret		280345
	51707345	pc_fs_carpet-003	Y:\Documents\GitHub\global-game-jam-2024\global-game-jam-2024_WwiseProject\.cache\Mac\SFX\pc_fs_carpet-003_380E8DD5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Footsteps\fs_carpet\pc_fs_carpet-003		8895
	79962583	ui_laughtrack_sympathetic	Y:\Documents\GitHub\global-game-jam-2024\global-game-jam-2024_WwiseProject\.cache\Mac\SFX\ui_laughtrack_sympathetic_380E8DD5.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\LaughTrack\LaughSympathetic\ui_laughtrack_sympathetic		82701
	84895179	pc_fs_hardwood-004	Y:\Documents\GitHub\global-game-jam-2024\global-game-jam-2024_WwiseProject\.cache\Mac\SFX\pc_fs_hardwood-004_380E8DD5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Footsteps\fs_hardwood\pc_fs_hardwood-004		9535
	132030022	amb_bed_exterior	Y:\Documents\GitHub\global-game-jam-2024\global-game-jam-2024_WwiseProject\.cache\Mac\SFX\amb_bed_exterior_239921B3.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\Ambience\AmbienceBed\amb_bed_exterior		615981
	162474841	npc_margaret_neutral02	Y:\Documents\GitHub\global-game-jam-2024\global-game-jam-2024_WwiseProject\.cache\Mac\SFX\npc_margaret_neutral02_380E8DD5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Dialog\CharacterSpeech\Margaret\npc_margaret_neutral02		66487
	177700746	npc_almiller_approve02	Y:\Documents\GitHub\global-game-jam-2024\global-game-jam-2024_WwiseProject\.cache\Mac\SFX\npc_almiller_approve02_380E8DD5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Dialog\CharacterSpeech\AlMiller\npc_almiller_approve02		52127
	190622905	npc_margaret_disapprove01	Y:\Documents\GitHub\global-game-jam-2024\global-game-jam-2024_WwiseProject\.cache\Mac\SFX\npc_margaret_disapprove01_380E8DD5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Dialog\CharacterSpeech\Margaret\npc_margaret_disapprove01		75865
